Part,Value,Device,Package,Description,Link to Part Website,Store Name,Quantity,Unit Price,Total Price,
C11,0.1uF,0.1UF-0402-16V-10%,402,0.1µF ceramic capacitors,http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,CAP-12416
C12,1.0uF,1.0UF-0402-16V-10%,402,1µF ceramic capacitors,http://www.mouser.com/ProductDetail/AVX/04026C105KAT2A/?qs=sGAEpiMZZMs0AnBnWHyRQHZRmD76Lk0UbFlc%252b4vkiNJTEKHPFmPYNg%3d%3d,Mouser,,$0.25,,CAP-12417
C13,0.1uF,0.1UF-0402-16V-10%,402,0.1µF ceramic capacitors,http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,CAP-12416
C14,0.1uF,0.1UF-0402-16V-10%,402,0.1µF ceramic capacitors,http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,CAP-12416
C15,4.7nF,4.7NF-50V-10%(0603),603,CAP-11378,http://www.mouser.com/ProductDetail/Yageo/AC0402KRX7R8BB472/?qs=sGAEpiMZZMs0AnBnWHyRQBZcF7Vf94SCU%2fNDM2KkFKNV%252b%2fWlVmY00w%3d%3d,Mouser,,$0.07,,CAP-11378
C16,0.1uF,0.1UF-0402-16V-10%,402,0.1µF ceramic capacitors,http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,CAP-12416
C17,0.1uF,0.1UF-0402-16V-10%,402,0.1µF ceramic capacitors,http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,CAP-12416
C18,4.7nF,4.7NF-50V-10%(0603),603,CAP-11378,http://www.mouser.com/ProductDetail/Yageo/AC0402KRX7R8BB472/?qs=sGAEpiMZZMs0AnBnWHyRQBZcF7Vf94SCU%2fNDM2KkFKNV%252b%2fWlVmY00w%3d%3d,Mouser,,$0.07,,CAP-11378
C19,0.1uF,0.1UF-0402-16V-10%,402,0.1µF ceramic capacitors,http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,CAP-12416
C20,1.0uF,1.0UF-0402-16V-10%,402,1µF ceramic capacitors,http://www.mouser.com/ProductDetail/AVX/04026C105KAT2A/?qs=sGAEpiMZZMs0AnBnWHyRQHZRmD76Lk0UbFlc%252b4vkiNJTEKHPFmPYNg%3d%3d,Mouser,,$0.25,,CAP-12417
